Proc. of SIGMOD | Proceedings of the .* International Conference on Management of Data, {SIGMOD} Conference
Proc. of NAACL-HLT | Proceedings of the .* Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies
Proc. of EMNLP | Proceedings of the .* Conference on Empirical Methods in Natural Language Processing
Proc. of ACL | Proceedings of the .* Annual Meeting of the Association for Computational Linguistics
Proc. of WWW | {WWW} '.*: The Web Conference .*
International Conference on Learning Representations (ICLR) | .* International Conference on Learning Representations,
International Conference on Machine Learning  (ICML) | .*Proceedings of the .* International Conference on Machine Learning.*
International Conference on Machine Learning (ICML) | Machine Learning, Proceedings of the .* International Conference.*
{AAAI} Conference on Artificial Intelligence | .*AAAI. Conference on Artificial Intelligence
{ACM} {SIGKDD} International Conference on Knowledge Discovery | The .* \{ACM\} \{SIGKDD\} International Conference on Knowledge Discovery
{IEEE} Conference on Computer Vision and Pattern Recognition  ({CVPR}) | .*IEEE.* Computer Society Conference on Computer Vision and Pattern Recognition.*
{IEEE} Conference on Computer Vision and Pattern Recognition ({CVPR}) | .*Conference on Computer Vision and Pattern Recognition
Proc. of ICDE | .*International Conference on Data Engineering.*
Proc. of SIGIR | .*International {ACM} {SIGIR}.*
TKDE | IEEE Transactions on Knowledge and Data Engineering
Advances in Neural Information Processing Systems (NIPS) | .*\s*Annual\s*Conference\s*on\s*Neural\s*Information\s*Processing\s*Systems\s*200.*
Advances in Neural Information Processing Systems  (NIPS) | .*\s*Annual\s*Conference\s*on\s*Neural\s*Information\s*Processing\s*Systems\s*201[0-7],\s*.*
Advances in Neural Information Processing Systems (NeurIPS) | .*\s*Annual\s*Conference\s*on\s*Neural\s*Information\s*Processing\s*Systems\s*201[89],\s*.*
Advances in Neural Information Processing Systems  (NeurIPS) | .*\s*Annual\s*Conference\s*on\s*Neural\s*Information\s*Processing\s*Systems\s*2020,\s*.*
Advances in Neural Information Processing Systems   (NIPS) | Advances in Neural Information Processing Systems 20
